Gender,Age,Attitude,Deep,Stra,Surf,Points
1,22,40,3.66666666666667,4.5,2.58333333333333,30
2,21,31,4.25,2.625,2.83333333333333,23
2,21,23,4.25,2.75,3.33333333333333,19
2,21,28,3.83333333333333,3.25,3,18
2,21,37,4.41666666666667,4.125,2.58333333333333,28
2,20,26,3.5,3.375,2.41666666666667,21
2,21,24,3.58333333333333,2.75,3.58333333333333,19
2,25,30,3.66666666666667,4.125,2.08333333333333,27
1,21,28,2.08333333333333,3.25,4.33333333333333,24
2,24,29,4.25,2.875,2.66666666666667,21
2,20,24,3.58333333333333,2.875,3,20
1,21,31,4,2.375,2.66666666666667,28
2,20,19,3.33333333333333,3.875,2.16666666666667,12
2,20,20,3.5,2.125,2.66666666666667,21
2,18,38,3.16666666666667,4,2.25,28
2,21,34,3.58333333333333,3.25,2.66666666666667,31
2,19,37,3.41666666666667,2.625,3.33333333333333,18
2,21,29,4.25,2.75,3.5,25
2,20,23,3.25,4,2.75,19
1,21,41,4.41666666666667,3,2,21
2,20,27,3.25,3.375,2.83333333333333,16
2,21,35,3.91666666666667,3.875,3.5,7
2,20,34,3.58333333333333,3.25,2.5,21
2,18,32,4.5,3.375,3.16666666666667,17
1,22,33,3.58333333333333,4.125,3.08333333333333,22
2,22,33,3.66666666666667,3.5,2.91666666666667,18
1,24,35,2.58333333333333,2,3.16666666666667,25
2,19,32,4.16666666666667,3.625,2.5,24
2,20,31,3.25,3.375,3.83333333333333,23
2,20,28,4.33333333333333,2.125,2.25,23
2,17,17,3.91666666666667,4.625,3.41666666666667,26
1,19,19,2.66666666666667,2.5,3.75,12
2,20,35,3.08333333333333,2.875,3,32
2,20,24,3.75,2.75,2.58333333333333,22
2,20,21,4.16666666666667,4,3.33333333333333,20
2,20,29,4.16666666666667,2.375,2.83333333333333,21
2,19,19,3.25,3.875,3,23
2,19,20,4.08333333333333,3.375,2.83333333333333,20
2,22,42,2.91666666666667,1.75,3.16666666666667,28
1,35,41,3.83333333333333,3,2.75,31
2,18,37,3.16666666666667,2.625,3.41666666666667,18
2,19,36,3.41666666666667,2.625,3,30
1,21,18,4.08333333333333,3.375,2.66666666666667,19
